register_number,company_name,corp_number,office_type,business_type,valid_period,representative,address_jibun,address_road,phone,ad_phone,register_agency,operation_status
대전-34,(주)대산투자대부,160111-0149090,본점,금전대부,2002.12.13~2026.06.19,김기현,대전광역시 서구 둔산동 1391번지 서림빌딩102호,"대전광역시 서구 둔산로137번길 44, 102호 (둔산동,서림빌딩)",0424828080,"042-482-8080, 1544-6269",지방자치단체,영업중
2003-경북영천-00138,(주)동보실업대부,174711-0010409,본점,금전대부,2023.08.31~2026.08.30,양희철,경상북도 영천시 과전동 112번지 2호,경상북도 영천시 최무선로 279 (과전동),054-338-2626,054-338-2626,지방자치단체,영업중
대전-589,(주)대한투자대부,160111-0183890,본점,금전대부,2005.01.24~2026.04.13,장우영,대전광역시 서구 둔산동 1380번지 1호,"대전광역시 서구 둔산북로 121, 아너스빌오피스텔 205호(둔산동)",042) 487-8838,010-8451-8837,지방자치단체,영업중
대전-841,카머니대부(주),160111-0198881,본점,금전대부,2005.11.22~2026.06.25,전득희,대전광역시 서구 월평동 113번지 24호,대전광역시 서구 월드컵대로484번길 82-12 (월평동),042-536-8300,"042-536-8300, 536-8301, 536-8302",지방자치단체,영업중
충남 부여-대부-2,(주)중부파이낸스대부,164311-0008214,본점,금전대부,2023.06.16~2026.06.16,최종열,충청남도 부여군 부여읍 동남리 202번지 1호,"충청남도 부여군 부여읍 사비로 17, 1동 지1층 01호 (세운빌라)",041 835 7151,041-835-7151,지방자치단체,영업중
2020-부산남구-0013,주식회사 미륭,180111-0101624,본점,금전대부,2023.05.23~2026.05.23,"이태희,심병수,김경희",부산광역시 남구 용당동 99-4,부산광역시 남구 신선대산복로 30 (용당동),051-621-5551,051-621-5555,지방자치단체,영업중
대전-1134,(주)리치베인대부,160111-0216972,본점,금전대부,2007.01.08~2027.10.14,이광영,대전광역시 서구 둔산동 1405번지 메트로팰리스313호,"대전광역시 서구 둔산중로 66, 313호 (둔산동,메트로팰리스)",042-486-3223,042-486-3223,지방자치단체,영업중
제주시대부-39,(주)소비자대부금융114,220111-0058272,본점,금전대부,2024.05.16~2027.05.15,고성관,제주특별자치도 제주시 연동 2331번지 7호 진호뉴캐슬 4층,"제주특별자치도 제주시 도령로 111, 4층 (연동, 진호뉴캐슬)",064-748-7777,064-748-7777,지방자치단체,영업중
제주시대부-22,(주)흥산크레디트대부,220111-0034793,본점,금전대부,2023.05.03~2026.05.02,정용욱,제주특별자치도 제주시 도남동 86번지 7호 3층,"제주특별자치도 제주시 신성로 84, 3층 (도남동)",064-756-8500,064-756-8500,지방자치단체,영업중
2011-서울강남-0243(대부업),(주)아스리트대부,110111-3195347,본점,금전대부,2023.04.17~2026.04.17,강상훈,서울특별시 강남구 도곡동 954-18,"서울특별시 강남구 강남대로42길 23, 602호 (도곡동)",1644-7065,1644-7065,지방자치단체,영업중
2011-서울강남-0037(대부업),네오대부,,본점,금전대부,2022.09.27~2025.09.27,김우현,서울특별시 강남구 역삼동 797번지 3호 역삼빌딩 201호,"서울특별시 강남구 논현로 333, 201호 (역삼동, 역삼빌딩)",02-555-3337,02-555-3337,지방자치단체,영업중
2011-서울강남-0297(대부업),원보석전당포대부,,본점,금전대부,2023.05.12~2026.05.12,김여양,서울특별시 강남구 신사동 638번지 2호 303호,"서울특별시 강남구 압구정로 306, 303호 (신사동)",02-548-1691,,지방자치단체,영업중
2011-서울강남-0038(대부중개업),네오대부,,본점,대부중개,2022.09.27~2025.09.27,김우현,서울특별시 강남구 역삼동 797번지 3호 역삼빌딩 201호,"서울특별시 강남구 논현로 333, 201호 (역삼동, 역삼빌딩)",02-555-3337,02-555-3337,지방자치단체,영업중
2011-서울강동-00025,원광대부,,본점,금전대부,2023.05.06~2026.05.06,배택종,서울특별시 강동구 천호동 340번지 34호 명화빌딩 303호,"서울특별시 강동구 올림픽로 683, 303호 (천호동, 명화빌딩)",02-486-6262,02-486-6262,지방자치단체,영업중
2011-서울강동-00033(대부업),제일사전당포대부,,본점,금전대부,2023.05.04~2026.05.04,조동주,서울특별시 강동구 천호동 412번지 2호 3층 101호,"서울특별시 강동구 천호대로157길 51, 3층 101호 (천호동)",02-484-5297,02-484-5297,지방자치단체,영업중
2011-서울강동-00044,길동사전당포대부,,본점,금전대부,2023.05.12~2026.05.12,김중규,서울특별시 강동구 길동 390번지 9호 4층,"서울특별시 강동구 양재대로 1470, 4층 (길동)",02-476-5085,010-7317-1077,지방자치단체,영업중
2008-서울관악-00200(대부업),세원사전당포대부,,본점,금전대부,2023.05.17~2026.05.17,이계후,서울특별시 관악구 신림동 1424번지 19호 동아빌딩 2층 2층호,"서울특별시 관악구 신림로 354, 2층 (신림동)",02-877-0012,"02-877-0012, 02-882-0405",지방자치단체,영업중
2008-서울관악-00238(대부업),고려사전당포대부,,본점,금전대부,2023.05.17~2026.05.17,이철호,서울특별시 관악구 봉천동 62-17,"서울특별시 관악구 관악로 208, 3층 (봉천동)",02-888-2700,02-888-2700,지방자치단체,영업중
2008-서울관악-00894(대부업),두산대부,,본점,금전대부,2023.07.06~2026.07.06,박주병,서울특별시 관악구 봉천동 1번지 557호 1708-1 두산아파트 201-1903 지층호,"서울특별시 관악구 청림3길 45, 지층 (봉천동)",010-3238-2702,,지방자치단체,영업중
2017-서울광진-0038(대부업),자양사전당포대부,,본점,금전대부,2023.02.20~2026.02.20,예성희,서울특별시 광진구 자양동 219번지 20호,서울특별시 광진구 자양로 93 (자양동),02-446-1087,"02-446-1087, 010-9292-0086, 02-446-1087",지방자치단체,영업중
